Root -9223372036854772480: #dirs=13, #files=1781, size = 4109674550 = 3.827 GB, found=1781, notFound=0
Root -9223372036854771968: #dirs=5, #files=0, size = 0 = 0 B, found=0, notFound=0
Root -9223372036854771456: #dirs=13, #files=1830, size = 2879924163 = 2.682 GB, found=1830, notFound=0
Root -9223372036854770944: #dirs=5, #files=0, size = 0 = 0 B, found=0, notFound=0
Root -9223372036854769920: #dirs=186, #files=199, size = 9612943255 = 8.953 GB, found=199, notFound=0
Root -9223372036854769408: #dirs=352, #files=1500, size = 47159718753 = 43.921 GB, found=1500, notFound=0
Root -9223372036854768896: #dirs=38, #files=10024, size = 984254222170 = 916.658 GB, found=10024, notFound=0
Root -9223372036854768384: #dirs=347, #files=345, size = 19200885293 = 17.882 GB, found=345, notFound=0
Root -9223372036854734592: #dirs=5, #files=3, size = 121 = 121 B, found=3, notFound=0
Root -9223372036808296704: #dirs=23, #files=88, size = 44463184 = 42.403 MB, found=88, notFound=0
Root -9223372036808296192: #dirs=3, #files=8, size = 1154150 = 1.101 MB, found=8, notFound=0
Root -9223372036808226047: #dirs=4, #files=6, size = 1048576000281 = 976.563 GB, found=0, notFound=6
Root -9223372036808226046: #dirs=0, #files=1, size = 112 = 112 B, found=0, notFound=1
Root -9223372036805983999: #dirs=0, #files=1, size = 112 = 112 B, found=0, notFound=1
Root -9223372036803969791: #dirs=0, #files=1, size = 112 = 112 B, found=0, notFound=1
Root -9223372036803963135: #dirs=0, #files=2, size = 84 = 84 B, found=0, notFound=2
Root -9223372036801872638: #dirs=0, #files=100, size = 11290 = 11.025 KB, found=0, notFound=100
Root -9223372036801764607: #dirs=0, #files=2, size = 87 = 87 B, found=0, notFound=2
Root -9223372036801764095: #dirs=0, #files=100, size = 1048576000000 = 976.563 GB, found=0, notFound=100
Root -9223372036799652863: #dirs=0, #files=101, size = 10000 = 9.766 KB, found=0, notFound=101
Root -9223372036799495166: #dirs=0, #files=1323, size = 166911 = 162.999 KB, found=0, notFound=1323
Root -9223372036798139391: #dirs=0, #files=20, size = 2490 = 2.432 KB, found=0, notFound=20
Root -9223372036798113279: #dirs=0, #files=3, size = 174 = 174 B, found=0, notFound=3
Root -9223372036798112767: #dirs=0, #files=200, size = 420000 = 410.156 KB, found=0, notFound=200
Root -9223372036797903359: #dirs=0, #files=100, size = 11290 = 11.025 KB, found=0, notFound=100
